semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,"[76, 44, 85, 81, 28, 37, 6, 29, 17, 14]"
2025-07-21,2025-07-27,"[81, 76, 28, 37, 6, 29, 17, 14, 8, 99]"
2025-07-28,2025-08-03,"[35, 76, 49, 81, 28, 37, 6, 29, 17, 14]"
2025-08-04,2025-08-10,"[12, 43, 52, 81, 76, 28, 37, 6, 29, 17]"
