semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,"[76, 91, 76, 91, 76, 91, 76, 91, 76, 91]"
2025-07-21,2025-07-27,"[17, 6, 90, 38, 17, 6, 90, 38, 17, 6]"
2025-07-28,2025-08-03,"[76, 91, 76, 91, 76, 91, 76, 91, 76, 91]"
2025-08-04,2025-08-10,"[33, 99, 33, 99, 33, 99, 33, 99, 33, 99]"
