semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,[2]
2025-07-21,2025-07-27,"[25, 40, 28, 10, 37, 2, 76, 96, 32, 79]"
2025-07-28,2025-08-03,"[38, 28, 29, 81, 25, 37, 79, 17, 77, 76]"
2025-08-04,2025-08-10,"[81, 77, 56, 43, 80, 19, 37, 38, 25, 29]"
