semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,"[63, 36, 99, 96, 75, 76, 64, 74, 98, 97]"
2025-07-21,2025-07-27,"[44, 90, 63, 92, 61, 34, 40, 11, 18, 97]"
2025-07-28,2025-08-03,"[28, 26, 25, 81, 65, 41, 12, 17, 30, 95]"
2025-08-04,2025-08-10,"[81, 99, 76, 52, 47, 6, 49, 18, 98, 65]"
