semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,"[97, 96, 98, 93, 63, 65, 99, 88, 64, 87]"
2025-07-21,2025-07-27,"[39, 44, 45, 6, 92, 36, 47, 89, 65, 1]"
2025-07-28,2025-08-03,"[4, 41, 36, 7, 0, 26, 15, 18, 81, 29]"
2025-08-04,2025-08-10,"[99, 81, 49, 76, 48, 82, 52, 47, 7, 0]"
