semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,"[99, 75, 96, 77, 63, 74, 97, 76, 94, 95]"
2025-07-21,2025-07-27,"[34, 11, 96, 44, 97, 18, 36, 90, 98, 92]"
2025-07-28,2025-08-03,"[26, 28, 25, 41, 81, 12, 30, 0, 43, 17]"
2025-08-04,2025-08-10,"[81, 99, 52, 98, 49, 76, 5, 8, 29, 18]"
