semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,"[17, 40, 2, 81]"
2025-07-21,2025-07-27,"[25, 32, 37, 28, 5, 76, 96, 10, 79, 40]"
2025-07-28,2025-08-03,"[90, 38, 6, 94, 22, 44, 25, 14, 91, 55]"
2025-08-04,2025-08-10,"[76, 4, 8, 52, 38, 59, 99, 6, 14, 9]"
