semana_inicio,semana_fin,prediccion
2025-07-14,2025-07-20,"[81, 2, 40, 17, 35, 11, 79, 74, 29, 77]"
2025-07-21,2025-07-27,"[37, 28, 40, 32, 25, 5, 17, 2, 76, 96]"
2025-07-28,2025-08-03,"[28, 81, 37, 25, 22, 6, 40, 76, 17, 29]"
